//fichier générer par python
mot_source,traduction_fr,traduction_ar,traduction_en
maison,maison,منزل,house
voiture,voiture,سيارة,car
chat,chat,قطة,cat
chien,chien,كلب,dog
fleur,fleur,زهرة,flower
soleil,soleil,شمس,sun
lune,lune,قمر,moon
mer,mer,بحر,sea
montagne,montagne,جبل,mountain
forêt,forêt,غابة,forest
mot_source,traduction_fr,traduction_ar,traduction_en
maison,maison,منزل,house
voiture,voiture,سيارة,car
chat,chat,قطة,cat
chien,chien,كلب,dog
fleur,fleur,زهرة,flower
soleil,soleil,شمس,sun
lune,lune,قمر,moon
mer,mer,بحر,sea
montagne,montagne,جبل,mountain
forêt,forêt,غابة,forest
étudiant,étudiant,طالب,student
professeur,professeur,أستاذ,teacher
école,école,مدرسة,school
université,université,جامعة,university
classe,classe,صف,class
cours,cours,درس,lesson
examen,examen,امتحان,exam
devoir,devoir,واجب,assignment
livre,livre,كتاب,book
connaissance,connaissance,معرفة,knowledge
apprentissage,apprentissage,تعلم,learning
compétence,compétence,مهارة,skill
diplôme,diplôme,شهادة,diploma
étude,étude,دراسة,study
note,note,درجة,grade
savoir,savoir,معرفة,knowledge
leçon,leçon,درس,lesson
matière,matière,مادة,subject
formation,formation,تدريب,training
éducation,éducation,تعليم,education
élève,élève,تلميذ,pupil
bibliothèque,bibliothèque,مكتبة,library
professeur principal,professeur principal,مدرس رئيسي,head teacher
biologie,biologie,علم الأحياء,biology
chimie,chimie,كيمياء,chemistry
physique,physique,فيزياء,physics
mathématiques,mathématiques,رياضيات,mathematics
histoire,histoire,تاريخ,history
géographie,géographie,جغرافيا,geography
langue,langue,لغة,language
littérature,littérature,أدب,literature
art,art,فن,art
musique,musique,موسيقى,music
sport,sport,رياضة,sport
technologie,technologie,تكنولوجيا,technology
informatique,informatique,علوم الحاسوب,computer science
ingénierie,ingénierie,هندسة,engineering
médecine,médecine,طب,medicine
dentisterie,dentisterie,طب الأسنان,dentistry
pharmacie,pharmacie,صيدلة,pharmacy
psychologie,psychologie,علم النفس,psychology
économie,économie,اقتصاد,economics
droit,droit,قانون,law
commerce,commerce,تجارة,commerce
administration des affaires,administration des affaires,إدارة الأعمال,business administration
marketing,marketing,تسويق,marketing
communication,communication,اتصالات,communication
finance,finance,تمويل,finance
comptabilité,comptabilité,محاسبة,accounting
management,management,إدارة,management
entrepreneuriat,entrepreneuriat,ريادة الأعمال,entrepreneurship
innovation,innovation,ابتكار,innovation
créativité,créativité,إبداع,creativity
collaboration,collaboration,تعاون,collaboration
résolution de problèmes,résolution de problèmes,حل المشكلات,problem solving
esprit critique,esprit critique,تفكير نقدي,critical thinking
communication efficace,communication efficace,تواصل فعال,effective communication
travail d'équipe,travail d'équipe,العمل الجماعي,teamwork
gestion du temps,gestion du temps,إدارة الوقت,time management
organisation,organisation,تنظيم,organization
planification,planification,تخطيط,planning
réalisation des objectifs,réalisation des objectifs,تحقيق الأهداف,goal achievement
motivation,motivation,تحفيز,motivation
